nomBénéficiaire,idBeneficiaire,montant,objet,datesPériodeVersement,montant_reuse,nature,datepublication,dateConvention,nomAttribuant,idAttribuant
BORDEAUX TECHNOWEST,37781852100025.0,440000,Fonctionnement,2020-11-24/2021-05-24,Entre 100 000€ et 500 000€,aide en numéraire,44518,44159,BORDEAUX METROPOLE,24330031600011.0
BORDEAUX TECHNOWEST,37781852100000.0,9000,Journées UAV Days,2020-09-09/2021-03-09,Inférieur à 30 000€,aide en numéraire,44166,44083,BORDEAUX METROPOLE,24330031600000.0
BORDEAUX TECHNOWEST,37781852100025.0,530000,Subvention de fonctionnement,2022-04-13/2022-10-13,Supérieur à 500 000€,aide en numéraire,44713,44664,BORDEAUX METROPOLE,24330031600011.0
BORDEAUX TECHNOWEST,37781852100025.0,27200,Subvention de fonctionnement,2022-06-22/2022-12-22,Inférieur à 30 000€,aide en numéraire,44805,44734,BORDEAUX METROPOLE,24330031600011.0
Bordeaux Technowest,37781852100025.0,667000,Aide au fonctionnement,2023-04-07/2023-10-07,Supérieur à 500 000€,aide en numéraire,45097,45023,BORDEAUX METROPOLE,24330031600011.0
Bordeaux Technowest,37781852100025.0,30000,Aide au fonctionnement,2023-12-12/2024-06-12,Inférieur à 30 000€,aide en numéraire,45324,45272,BORDEAUX METROPOLE,24330031600011.0
Bordeaux Technowest,37781852100025.0,822000,aide au fonctionnement,2024-05-07/2024-11-07,Supérieur à 500 000€,aide en numéraire,45537,45419,BORDEAUX METROPOLE,24330031600011.0
BORDEAUX TECHNOWEST,37781852100058.0,866100,Aide au fonctionnement,2025-04-29/2025-10-29,Supérieur à 500 000€,Aide en numéraire,45695,45776,BORDEAUX METROPOLE,24330031600011.0
BORDEAUX TECHNOWEST,37781852100058.0,20000,Programme ESS TECH,2025-04-29/2025-10-29,Inférieur à 30 000€,Aide en numéraire,45695,45776,BORDEAUX METROPOLE,24330031600011.0
BORDEAUX UNITEC,37796404400038.0,15000,manifestation Innovaday,2019-06-13/2019-12-13,Inférieur à 30 000€,aide en numéraire,43636,43629,BORDEAUX METROPOLE,24330031600011.0
BORDEAUX UNITEC,37796404400038.0,125000,Fonctionnement,2019-05-24/2019-11-24,Entre 100 000€ et 500 000€,aide en numéraire,43636,43609,BORDEAUX METROPOLE,24330031600011.0
Bordeax Aquitaine Inno'Vin,49874718700025.0,40000,aide au fonctionnement,2024-06-07/2024-12-07,Entre 30 000€ et 100 000€,aide en numéraire,45537,45450,BORDEAUX METROPOLE,24330031600011.0
BRUIT DU FRIGO,41763246000073.0,5000,La mêlée,2021-06-09/2021-12-09,Inférieur à 30 000€,aide en numéraire,44418,44356,BORDEAUX METROPOLE,24330031600011.0
BRUIT DU FRIGO,41763246000073.0,93960,Aide à l'investissement,2025-06-26 / 2025-12-26,Entre 30 000€ et 100 000€,Aide en numéraire,45911,45834,BORDEAUX METROPOLE,24330031600011.0
BRUIT DU FRIGO,41763246000073.0,5760,Aide au fonctionnement,2025-06-25 / 2025-12-25,Inférieur à 30 000€,Aide en numéraire,46036,45833,BORDEAUX METROPOLE,24330031600011.0
BURKINA T.H,51978184300015.0,14000,Action solidarité internationale eau,2021-10-04/2022-04-04,Inférieur à 30 000€,aide en numéraire,44550,44473,BORDEAUX METROPOLE,24330031600011.0
CAIE BENJAMIN,89780462100018.0,5500,Aide à l'investissement FILA 2024,2025-04-16 / 2025-10-16,Inférieur à 30 000€,Aide en numéraire,45695,45763,BORDEAUX METROPOLE,24330031600011.0
CAIE BENJAMIN,89780462100018.0,7703,Aide à l'investissement FILA 2024,2025-04-16 / 2025-10-16,Inférieur à 30 000€,Aide en numéraire,45695,45763,BORDEAUX METROPOLE,24330031600011.0
CAISSE SECOURS ET D'ENTRAIDE SDIS,78184992200021.0,116607,Fonctionnement,2021-08-30/2022-02-30,Entre 100 000€ et 500 000€,aide en numéraire,44518,44438,BORDEAUX METROPOLE,24330031600011.0
CAISSE SOCIALE DE DEVELOPPEMENT LOCAL,41900910500018.0,225000,Aide relance entrepreneurs,2020-07-24/2021-01-24,Entre 100 000€ et 500 000€,aide en numéraire,44418,44036,BORDEAUX METROPOLE,24330031600011.0
CAISSE SOCIALE DE DEVELOPPEMENT LOCAL,41900910500018.0,38000,Subvention de fonctionnement,2022-06-21/2022-12-21,Entre 30 000€ et 100 000€,aide en numéraire,44805,44733,BORDEAUX METROPOLE,24330031600011.0
CAISSE SOCIALE DE DEVELOPPEMENT LOCAL,41900910500018.0,36100,Aide au fonctionnement,2025-05-14 / 2025-11-14,Entre 30 000€ et 100 000€,Aide en numéraire,45695,45791,BORDEAUX METROPOLE,24330031600011.0
Caisse Sociale de Développement Local (CSDL),41900910500018.0,38000,aide au  fonctionnement - Accompagnement ESS,2024-05-14/2024-11-14,Entre 30 000€ et 100 000€,aide en numéraire,45537,45426,BORDEAUX METROPOLE,24330031600011.0
Caisse Sociale de Développement Local (CSDL),41900910500018.0,50000,aide au  fonctionnement - Clinique des TPE,2024-05-14/2024-11-14,Entre 30 000€ et 100 000€,aide en numéraire,45537,45426,BORDEAUX METROPOLE,24330031600011.0
Caisse Sociale de Développement Local (CSDL),41900910500018.0,38000,Aide au fonctionnement,2023-05-09/2023-11-09,Entre 30 000€ et 100 000€,aide en numéraire,45097,45055,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300036.0,5000,Fête de la science,2019-02-14/2019-08-14,Inférieur à 30 000€,aide en numéraire,43557,43510,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300036.0,120000,investissement,2019-06-25/2019-12-25,Entre 100 000€ et 500 000€,aide en numéraire,43724,43641,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300000.0,5000,Expo Robots,2020-06-22/2020-12-22,Inférieur à 30 000€,aide en numéraire,44068,44004,BORDEAUX METROPOLE,24330031600000.0
Cap Sciences,39988425300036.0,145000,Aide à l'investissement,2023-11-06/2024-05-06,Entre 100 000€ et 500 000€,aide en numéraire,45324,45236,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300036.0,368000,Subvention de fonctionnement,2022-08-17/2023-02-17,Entre 100 000€ et 500 000€,aide en numéraire,44805,44790,BORDEAUX METROPOLE,24330031600011.0
Cap Sciences,39988425300036.0,25000,aide à l'investissement  Popup,2024-08-19/2025-02-19,Inférieur à 30 000€,aide en numéraire,45537,45523,BORDEAUX METROPOLE,24330031600011.0
Cap Sciences,39988425300036.0,120000,Aide à l'investissement - Soutien aux expositions,2024-08-19/2025-02-19,Entre 100 000€ et 500 000€,aide en numéraire,45537,45523,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300036.0,145000,Aide à l'investissement,2022-08-17/2023-02-17,Entre 100 000€ et 500 000€,aide en numéraire,44805,44790,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300036.0,120000,Investissement,2018-09-10/2019-03-10,Entre 100 000€ et 500 000€,aide en numéraire,43557,43353,BORDEAUX METROPOLE,24330031600011.0
Cap Sciences,39988425300036.0,368000,Aide au fonctionnement,2023-11-06/2024-05-06,Entre 100 000€ et 500 000€,aide en numéraire,45324,45236,BORDEAUX METROPOLE,24330031600011.0
Cap Sciences,39988425300036.0,368000,aide au  fonctionnement,2024-08-19/2025-02-19,Entre 100 000€ et 500 000€,aide en numéraire,45537,45523,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300036.0,368000,Aide au fonctionnement,2025-06-27 / 2025-12-27,Entre 100 000€ et 500 000€,Aide en numéraire,45695,45835,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES,39988425300036.0,145000,Aide à l'investissement,2025-06-27 / 2025-12-27,Entre 100 000€ et 500 000€,Aide en numéraire,45695,45835,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES CCSTI,39988425300036.0,320000,Fonctionnement,2021-11-08/2022-05-08,Entre 100 000€ et 500 000€,aide en numéraire,44550,44508,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES CCSTI,39988425300036.0,120000,Investissement,2020-12-08/2021-06-08,Entre 100 000€ et 500 000€,aide en numéraire,44229,44173,BORDEAUX METROPOLE,24330031600011.0
CAP SCIENCES CCSTI,39988425300036.0,240000,Investissement,2021-11-08/2022-05-08,Entre 100 000€ et 500 000€,aide en numéraire,44550,44508,BORDEAUX METROPOLE,24330031600011.0
CARMA FILMS,75400983500010.0,30000,Aide au fonctionnement,2025-09-02 / 2026-03-02,Inférieur à 30 000€,Aide en numéraire,45911,45902,BORDEAUX METROPOLE,24330031600011.0
CARREFOUR POUR L'EMPLOI,43294548300035.0,18000,Subvention de Fonctionnement,2022-11-07/2023-05-07,Inférieur à 30 000€,aide en numéraire,44897,44872,BORDEAUX METROPOLE,24330031600011.0
CARREFOURS POUR L'EMPLOI,43294548300035.0,18000,Fonctionnement,2019-01-17/2019-07-17,Inférieur à 30 000€,aide en numéraire,43502,43482,BORDEAUX METROPOLE,24330031600011.0
CCI BORDEAUX GIRONDE,13002285800018.0,500000,Fonds de soutien aux commerçants,2019-04-19/2019-10-19,Entre 100 000€ et 500 000€,aide en numéraire,43636,43574,BORDEAUX METROPOLE,24330031600011.0
CDAD,18001003500000.0,23000,Politique de la ville,2020-09-03/2021-03-03,Inférieur à 30 000€,aide en numéraire,44166,44077,BORDEAUX METROPOLE,24330031600000.0
CEID,31241056600011.0,5000,TAPAJ quartiers,2022-12-05/2023-06-05,Inférieur à 30 000€,aide en numéraire,45014,44900,BORDEAUX METROPOLE,24330031600011.0
CEID ADDICTIONS,31241056600011.0,3500,Subvention de fonctionnement,2022-07-25/2023-01-25,Inférieur à 30 000€,aide en numéraire,44805,44767,BORDEAUX METROPOLE,24330031600011.0
Centre Animation de Bordeaux Cultivons le Partage,78184929400280.0,3000,Projet ALADDIN 2023,2023-04-17/2023-10-17,Inférieur à 30 000€,aide en numéraire,45097,45033,BORDEAUX METROPOLE,24330031600011.0
CENTRE ANIMATION DE BORDEAUX CULTIVONS LE PARTAGE,78184929400280.0,8000,Projet ALLADIN 2022,2022-08-29/2023-02-29,Inférieur à 30 000€,aide en numéraire,44897,44802,BORDEAUX METROPOLE,24330031600011.0
Centre Régional d'Informations Jeunesse NA,30733663600039.0,32000,aide au fonctionnement,2024-05-07/2024-11-07,Entre 30 000€ et 100 000€,aide en numéraire,45537,45419,BORDEAUX METROPOLE,24330031600011.0
CENTRE REGIONAL INFORMATION JEUNESSE,30733663600039.0,30400,Fonctionnement,2021-05-29/2021-11-29,Entre 30 000€ et 100 000€,aide en numéraire,44418,44345,BORDEAUX METROPOLE,24330031600011.0
Centre Régional Information Jeunesse Nouvelle Aquitaine,30733663600039.0,32000,Aide au fonctionement,2023-11-14/2024-05-14,Entre 30 000€ et 100 000€,aide en numéraire,45324,45244,BORDEAUX METROPOLE,24330031600011.0
CENTRE SOCIAL BAGATELLE,78202130700015.0,12000,Projet ALLADIN 2022,2022-08-30/2023-02-30,Inférieur à 30 000€,aide en numéraire,44897,44803,BORDEAUX METROPOLE,24330031600011.0
CENTRE SOCIAL DE BORDEAUX NORD,78184921100029.0,2000,Projet ALLADIN 2022,2022-09-15/2023-03-15,Inférieur à 30 000€,aide en numéraire,44897,44819,BORDEAUX METROPOLE,24330031600011.0
CENTRE SOCIAL DE BORDEAUX NORD,78184921100029.0,2000,Plan pauvreté ALADDIN,2021-10-20/2022-04-20,Inférieur à 30 000€,aide en numéraire,44550,44489,BORDEAUX METROPOLE,24330031600011.0
Centre social de la maison de santé protestante de Bordeaux Bagtelle,78202130700015.0,7000,Projet ALADDIN 2023,2023-04-17/2023-10-17,Inférieur à 30 000€,aide en numéraire,45097,45033,BORDEAUX METROPOLE,24330031600011.0
Centre social et culturel la Chataigneraie,49011083000018.0,6400,Projet ALADDIN 2023,2023-04-17/2023-10-17,Inférieur à 30 000€,aide en numéraire,45097,45033,BORDEAUX METROPOLE,24330031600011.0
Centre Social et Familial Bordeaux Nord,78184921100029.0,2000,Projet ALADDIN 2023,2023-04-17/2023-10-17,Inférieur à 30 000€,aide en numéraire,45097,45033,BORDEAUX METROPOLE,24330031600011.0
CENTRE SOCIAUX UNIRE,83844691200019.0,6000,Projet ALLADIN 2022,2022-09-24/2023-03-24,Inférieur à 30 000€,aide en numéraire,44897,44828,BORDEAUX METROPOLE,24330031600011.0
CHAHUTS,40265285300069.0,35000,LES ARTS DE LA PAROLE,2019-02-22/2019-08-22,Entre 30 000€ et 100 000€,aide en numéraire,43557,43518,BORDEAUX METROPOLE,24330031600011.0
CHAHUTS,40265285300019.0,35000,Subvention Festival 2022,2022-03-14/2022-09-14,Entre 30 000€ et 100 000€,aide en numéraire,44713,44634,BORDEAUX METROPOLE,24330031600011.0
CHAHUTS,40265285300000.0,35000,Festival Chahuts,2020-02-10/2020-08-10,Entre 30 000€ et 100 000€,aide en numéraire,43929,43871,BORDEAUX METROPOLE,24330031600000.0
Chahuts,40265285300019.0,35000,Festival Chahuts 2023,2023-04-21/2023-10-21,Entre 30 000€ et 100 000€,aide en numéraire,45097,45037,BORDEAUX METROPOLE,24330031600011.0
CHAHUTS,40265285300019.0,35000,CODEV,2021-01-29/2021-07-29,Entre 30 000€ et 100 000€,aide en numéraire,44229,44225,BORDEAUX METROPOLE,24330031600011.0
CHAHUTS,40265285300000.0,16000,Eté métropolitain,2020-06-12/2020-12-12,Inférieur à 30 000€,aide en numéraire,44068,43994,BORDEAUX METROPOLE,24330031600000.0
Chahuts,40265285300019.0,35000,Festival Chahuts,2024-05-06/2024-11-06,Entre 30 000€ et 100 000€,aide en numéraire,45537,45418,BORDEAUX METROPOLE,24330031600011.0
CHAHUTS,40265285300019.0,25000,Eté métropolitain,2019-05-27/2019-11-27,Inférieur à 30 000€,aide en numéraire,43636,43612,BORDEAUX METROPOLE,24330031600011.0
CHAHUTS,40265285300019.0,35000,Aide au fonctionnement,2025-07-25 / 2026-01-25,Entre 30 000€ et 100 000€,Aide en numéraire,45911,45863,BORDEAUX METROPOLE,24330031600011.0
Chambre Régionale de l'Economie Sociale et Solidaire Nouvelle Aquitaine,82802334100047.0,50000,Aide au fonctionnement,2023-05-17/2023-11-17,Entre 30 000€ et 100 000€,aide en numéraire,45097,45063,BORDEAUX METROPOLE,24330031600011.0
Chlorophylle,43208271700039.0,25135,Solidarité Internationale Eau et Assainissement,2023-01-27/2023-07-27,Inférieur à 30 000€,aide en numéraire,45014,44953,BORDEAUX METROPOLE,24330031600011.0
CIDFF,33348540700017.0,8500,actions spécifiques,2019-07-23/2020-01-23,Inférieur à 30 000€,aide en numéraire,43724,43669,BORDEAUX METROPOLE,24330031600011.0
CIDFF,33348540700030.0,19000,"Appel à Projets 
Emploi et Quartier",2022-12-05/2023-06-05,Inférieur à 30 000€,aide en numéraire,44943,44900,BORDEAUX METROPOLE,24330031600011.0
CIDFF,33348540700030.0,19000,Subvention de fonctionnement,2022-01-24/2022-07-24,Inférieur à 30 000€,aide en numéraire,44713,44585,BORDEAUX METROPOLE,24330031600011.0
CIDFF,33348540700030.0,11500,AAP Contrat de Ville,2023-08-22/2024-02-22,Inférieur à 30 000€,aide en numéraire,45216,45160,BORDEAUX METROPOLE,24330031600011.0
CIDFF,33348540700030.0,14000,Programme d'actions CDV 2022,2022-08-26/2023-02-26,Inférieur à 30 000€,aide en numéraire,44897,44799,BORDEAUX METROPOLE,24330031600011.0
CIDFF,33348540700030.0,20000,Fonctionnement,2021-08-25/2022-02-25,Inférieur à 30 000€,aide en numéraire,44518,44433,BORDEAUX METROPOLE,24330031600011.0
CIDFF Gironde,33348540700030.0,20500,AAP Contrat de ville 2024,2024-08-22/2025-02-22,Inférieur à 30 000€,aide en numéraire,45537,45526,BORDEAUX METROPOLE,24330031600011.0
CIDFF GIRONDE,33348540700030.0,22000,AAP CONTRAT DE VILLE,2025-08-15 / 2026-02-15,Inférieur à 30 000€,Aide en numéraire,46036,45884,BORDEAUX METROPOLE,24330031600011.0
CIDFF GIRONDE,33348540700030.0,40000,AAP CLS Aide AU FONCTIONNEMENT - PLURIANNELLE 2025 à 2026,2025-08-12 / 2026-02-12,Entre 30 000€ et 100 000€,Aide en numéraire,46036,45881,BORDEAUX METROPOLE,24330031600011.0
CITES UNIES France,30957565200040.0,40000,Soutien à l'Ukraine 2022,2022-12-01/2023-06-01,Entre 30 000€ et 100 000€,aide en numéraire,44943,44896,BORDEAUX METROPOLE,24330031600011.0
CIVAM,51115695200026.0,30000,"Convention triennale ""Produire, Partager, Manger Local",2022-06-15/2022-12-15,Inférieur à 30 000€,aide en numéraire,45097,44727,BORDEAUX METROPOLE,24330031600011.0
CIVAM PPML,51115695200026.0,5000,Aide à l'investissement,2024-09-21 / 2025-03-21,Inférieur à 30 000€,Aide en numéraire,46036,45556,BORDEAUX METROPOLE,24330031600011.0
CLAIRSIENNE,45820538200054.0,10000,Aide au fonctionnement,2025-06-11 / 2025-12-11,Inférieur à 30 000€,Aide en numéraire,45911,45819,BORDEAUX METROPOLE,24330031600011.0
CLAIRSIENNE,45820538200054.0,100000,Aide à l'investissement - Résidence Les Berges de Lissandre,2025-10-21 / 2026-04-21,Entre 30 000€ et 100 000€,Aide en numéraire,46036,45951,BORDEAUX METROPOLE,24330031600011.0
CLAIRSIENNE,45820538200054.0,82840,Aide à l'investissement - Résidence étudiante Paul Pascal,2025-10-21 / 2026-04-21,Entre 30 000€ et 100 000€,Aide en numéraire,46036,45951,BORDEAUX METROPOLE,24330031600011.0
CLAP SUD OUEST,40228354300070.0,5000,Action spécifique dével. Outil numérique,2019-07-31/2020-01-31,Inférieur à 30 000€,aide en numéraire,43784,43677,BORDEAUX METROPOLE,24330031600011.0
CLAP SUD OUEST,40228354300070.0,31000,Programme d'actions CDV 2022,2022-08-24/2023-02-24,Entre 30 000€ et 100 000€,aide en numéraire,44897,44797,BORDEAUX METROPOLE,24330031600011.0
CLAP Sud Ouest,40228354300070.0,35000,AAP Contrat de ville 2024,2024-09-12/2025-03-12,Entre 30 000€ et 100 000€,aide en numéraire,45673,45547,BORDEAUX METROPOLE,24330031600011.0
CLAP SUD OUEST,40228354300070.0,35500,Fonctionnement,2021-09-15/2022-03-15,Entre 30 000€ et 100 000€,aide en numéraire,44518,44454,BORDEAUX METROPOLE,24330031600011.0
CLAP SUD OUEST,40228354300070.0,31000,AAP Contrat de Ville,2023-08-21/2024-02-21,Entre 30 000€ et 100 000€,aide en numéraire,45216,45159,BORDEAUX METROPOLE,24330031600011.0
CLAP SUD OUEST,40228354300100.0,23000,Politique de la ville,2020-09-14/2021-03-14,Inférieur à 30 000€,aide en numéraire,44166,44088,BORDEAUX METROPOLE,24330031600000.0
CLAP SUD OUEST,40228354300070.0,33000,actions spécifiques,2019-07-31/2020-01-31,Entre 30 000€ et 100 000€,aide en numéraire,43724,43677,BORDEAUX METROPOLE,24330031600011.0
CLAP SUD OUEST,40228354300070.0,24000,Action spécifique plateforme linguistique,2019-07-31/2020-01-31,Inférieur à 30 000€,aide en numéraire,43784,43677,BORDEAUX METROPOLE,24330031600011.0
CLAP SUD OUEST,40228354300070.0,26000,AAP CDV 2025,2025-08-12 / 2026-02-12,Inférieur à 30 000€,Aide en numéraire,46036,45881,BORDEAUX METROPOLE,24330031600011.0
CLMX PROD,81286869300019.0,30000,Festival CLIMAX 2024,2024-03-26/2024-09-26,Inférieur à 30 000€,aide en numéraire,45537,45377,BORDEAUX METROPOLE,24330031600011.0
CLMX PROD,81286869300019.0,28500,Aide au fonctionnement,2025-05-13 / 2025-11-13,Inférieur à 30 000€,Aide en numéraire,45695,45790,BORDEAUX METROPOLE,24330031600011.0
CLUB CAP COM,78886877600022.0,30000,FORUM,2019-03-22/2019-09-22,Inférieur à 30 000€,aide en numéraire,43636,43546,BORDEAUX METROPOLE,24330031600011.0
CLUB MUNICIPAL OMNISPORT DE BASSENS,33892405300014.0,1500,National de Pétanque,2022-09-22/2023-03-22,Inférieur à 30 000€,aide en numéraire,44897,44826,BORDEAUX METROPOLE,24330031600011.0
CLUSTER BORDEAUX SUPERYACHT,82071933400014.0,25000,Fonctionnement,2019-05-23/2019-11-23,Inférieur à 30 000€,aide en numéraire,43636,43608,BORDEAUX METROPOLE,24330031600011.0
Cluster Bordeaux Superyachts Refit,82071933400014.0,30000,aide au fonctionnement,2023-12-19/2024-06-19,Inférieur à 30 000€,aide en numéraire,45537,45279,BORDEAUX METROPOLE,24330031600011.0
COAEQUO,83122049600000.0,14250,SMAC agglo scènes musiques actuelles,2020-03-16/2020-09-16,Inférieur à 30 000€,aide en numéraire,43929,43906,BORDEAUX METROPOLE,24330031600000.0
COAEQUO,83122049600010.0,14250,SMAC d'agglo,2019-06-07/2019-12-07,Inférieur à 30 000€,aide en numéraire,43636,43623,BORDEAUX METROPOLE,24330031600011.0
COJO - Paris 2024,83498343900029.0,100000,Relais de la flamme olympique,2023-05-23/2023-11-23,Entre 30 000€ et 100 000€,aide en numéraire,45097,45069,BORDEAUX METROPOLE,24330031600011.0
COLLECTIF HABITANTS HAUT CENON,93803311500016.0,78600,Aide à l'investissement,2025-06-26 / 2025-12-26,Entre 30 000€ et 100 000€,Aide en numéraire,45911,45834,BORDEAUX METROPOLE,24330031600011.0
COLLECTIF TOC TOC,87921350200013.0,15000,La maison Toc Toc,2021-06-29/2021-12-29,Inférieur à 30 000€,aide en numéraire,44418,44376,BORDEAUX METROPOLE,24330031600011.0
COLOC 2 CHEF,82502744400017.0,7600,Aide à l'investissement FICCP 2024,2025-03-12/2025-09-12,Inférieur à 30 000€,Aide en numéraire,45695,45728,BORDEAUX METROPOLE,24330031600011.0
COM UNE PARENTHESE,84515945800023.0,29000,actions spécifiques,2019-07-25/2020-01-25,Inférieur à 30 000€,aide en numéraire,43724,43671,BORDEAUX METROPOLE,24330031600011.0
COM UNE PARENTHESE,84515945800700.0,29000,Fonctionnement,2020-09-16/2021-03-16,Inférieur à 30 000€,aide en numéraire,44166,44090,BORDEAUX METROPOLE,24330031600000.0
Comité d'Œuvres Sociales du Personnel de Bordeaux Métropole,48301340500012.0,1863000,Aide au fonctionnement,2023-04-14/2023-10-14,Supérieur à 500 000€,aide en numéraire,45216,45030,BORDEAUX METROPOLE,24330031600011.0
Comité de Jumelage Mirebalais,32592166600013.0,39625,Solidarité Internationale Eau et Assainissement,2023-01-27/2023-07-27,Entre 30 000€ et 100 000€,aide en numéraire,45097,44953,BORDEAUX METROPOLE,24330031600011.0
COMITE DES ŒUVRES SOCIALES DU PERSONNEL DE BORDEAUX METROPOLE,48301340500012.0,1800000,Subvention de fonctionnement,2022-04-13/2022-10-13,Supérieur à 500 000€,aide en numéraire,44713,44664,BORDEAUX METROPOLE,24330031600011.0
COMITE REGIONAL DE TOURISME AQUITAINE,78180454700060.0,99822,co-financement étude des clientèles touristiques,2024-12-30/2025-06-30,Entre 30 000€ et 100 000€,Aide en numéraire,45751,45656,BORDEAUX METROPOLE,24330031600011.0
COMITE SECOURS POPULAIRE Français,42428660700041.0,6185,AAP CONTRAT LOCAL DES SOLIDARITES,2024-12-23/2025-06-23,Inférieur à 30 000€,Aide en numéraire,45751,45649,BORDEAUX METROPOLE,24330031600011.0
COMPAGNIE DES MARCHES DE L'ÉTÉ,32848008200100.0,15000,codev 30/30 rencontres forme courte,2019-12-16/2020-06-16,Inférieur à 30 000€,aide en numéraire,43853,43815,BORDEAUX METROPOLE,24330031600000.0
Compagnie Les Marches de l'Eté,32848008200093.0,15000,Aide au fonctionnement,2023-02-21/2023-08-21,Inférieur à 30 000€,aide en numéraire,45014,44978,BORDEAUX METROPOLE,24330031600011.0
COMPAGNIE LES MARCHES DE L'ÉTÉ,32848008200069.0,15000,FESTIVAL 30/30,2019-02-19_2019-08-19,Inférieur à 30 000€,aide en numéraire,43557,43515,BORDEAUX METROPOLE,24330031600011.0
COMPAGNIE LES MARCHES DE L'ÉTÉ,32848008200069.0,15000,Rencontres 30 30,2021-01-05/2021-07-05,Inférieur à 30 000€,aide en numéraire,44229,44201,BORDEAUX METROPOLE,24330031600011.0
COMPAGNIE LES MARCHES DE L'ÉTÉ,32848008200093.0,15000,"Festival ""Trente Trente, les rencontres de la forme courte""",2022-02-22/2022-08-22,Inférieur à 30 000€,aide en numéraire,44624,44614,BORDEAUX METROPOLE,24330031600011.0
COMPAGNIE TANDAIM,41827063300021.0,23500,Eté métropolitain,2019-05-21/2019-11-21,Inférieur à 30 000€,aide en numéraire,43636,43606,BORDEAUX METROPOLE,24330031600011.0
COMPAGNONS BATISSEURS AQUITAINE,48856661300045.0,17000,appel à projet FAJ,2020-12-08/2021-06-08,Inférieur à 30 000€,aide en numéraire,44229,44173,BORDEAUX METROPOLE,24330031600011.0
COMPAGNONS BATISSEURS AQUITAINE,48856661300000.0,23150,Politique de la ville,2020-09-14/2021-03-14,Inférieur à 30 000€,aide en numéraire,44166,44088,BORDEAUX METROPOLE,24330031600000.0
CONGRES ET EXPOSITIONS DE BORDEAUX,45309131600019.0,1600000,Aide à l'immobilier,2021-11-08/2022-05-08,Supérieur à 500 000€,aide en numéraire,44550,44508,BORDEAUX METROPOLE,24330031600011.0
CONGRES EXPOSITIONS DE BORDEAUX,45309131600019.0,1550000,Plan de relance,2021-01-21/2021-07-21,Supérieur à 500 000€,aide en numéraire,44229,44217,BORDEAUX METROPOLE,24330031600011.0
Conservatoire des Races d'Aquitaine,38058299900021.0,27000,aide au fonctionnement,2023-09-18/2024-03-18,Inférieur à 30 000€,aide en numéraire,45673,45187,BORDEAUX METROPOLE,24330031600011.0
CONSERVERIE MOBILE ET SOLIDAIRE,92339145200011.0,1648,Aide à l'investissement - AAP FICCP 2024,2025-03-31 / 2025-09-30,Inférieur à 30 000€,Aide en numéraire,45695,45747,BORDEAUX METROPOLE,24330031600011.0
Conserverie mobile et solidaire de Mérignac,92339145200011.0,5000,aide au fonctionnement,2023-11-12/2024-05-12,Inférieur à 30 000€,aide en numéraire,45386,45242,BORDEAUX METROPOLE,24330031600011.0
COOP ALPHA,48237148100029.0,52000,ESS programme d'actions,2019-06-06/2019-12-06,Entre 30 000€ et 100 000€,aide en numéraire,43636,43622,BORDEAUX METROPOLE,24330031600011.0
COOP ALPHA,48237148100029.0,9000,actions spécifiques,2019-07-09/2020-01-09,Inférieur à 30 000€,aide en numéraire,43724,43655,BORDEAUX METROPOLE,24330031600011.0
COOP ALPHA,48237148100086.0,50000,AAP CONTRAT DE VILLE,2025-08-12 / 2026-02-12,Entre 30 000€ et 100 000€,Aide en numéraire,46036,45881,BORDEAUX METROPOLE,24330031600011.0
COOP ALPHA,48237148100086.0,52250,Aide au fonctionnement,2025-05-07 / 2025-11-07,Entre 30 000€ et 100 000€,Aide en numéraire,45695,45784,BORDEAUX METROPOLE,24330031600011.0
COOP ALPHA,48237148100086.0,25000,AAP CLS 2025,2025-08-12 / 2026-02-12,Inférieur à 30 000€,Aide en numéraire,46036,45881,BORDEAUX METROPOLE,24330031600011.0
COOP ALPHA COOPERATIVE,48237148100060.0,25000,Fonctionnement,2021-01-19/2021-07-19,Inférieur à 30 000€,aide en numéraire,44229,44215,BORDEAUX METROPOLE,24330031600011.0
COOP ALPHA COOPERATIVE,48237148100060.0,52000,Fonctionnement,2021-03-17/2021-09-17,Entre 30 000€ et 100 000€,aide en numéraire,44418,44272,BORDEAUX METROPOLE,24330031600011.0
COOP ET BAT,53310615000000.0,12500,Subvention exeptionnelle,2021-01-27/2021-07-27,Inférieur à 30 000€,aide en numéraire,44229,44223,BORDEAUX METROPOLE,24330031600000.0
COOP ET BAT,53310615000023.0,12500,Subvention exceptionnelle,2021-01-27/2021-07-27,Inférieur à 30 000€,aide en numéraire,44229,44223,BORDEAUX METROPOLE,24330031600011.0
