nomBénéficiaire,idBeneficiaire,montant,objet,datesPériodeVersement,montant_reuse,nature,datepublication,dateConvention,nomAttribuant,idAttribuant
ADI NOUVELLE AQUITAINE,82033673300010.0,24000,Fonctionnement,2021-01-19/2021-07-19,Inférieur à 30 000€,aide en numéraire,44229,44215,BORDEAUX METROPOLE,24330031600011.0
ADI NOUVELLE AQUITAINE,82033673300010.0,300000,Fonctionnement,2020-12-10/2021-06-10,Entre 100 000€ et 500 000€,aide en numéraire,44229,44175,BORDEAUX METROPOLE,24330031600011.0
ADI NOUVELLE AQUITAINE,82033673300010.0,47500,Aide au fonctionnement,2025-05-14 / 2025-11-14,Entre 30 000€ et 100 000€,Aide en numéraire,45695,45791,BORDEAUX METROPOLE,24330031600011.0
ADI NOUVELLE-AQUITAINE,48237148100060.0,50000,Subvention de fonctionnement,2022-04-07/2022-10-07,Entre 30 000€ et 100 000€,aide en numéraire,44805,44658,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,43000,aide au fonctionnement,2024-06-14/2024-12-14,Entre 30 000€ et 100 000€,aide en numéraire,45537,45457,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300015.0,5000,Fonctionnement,2019-07-31/2020-01-31,Inférieur à 30 000€,aide en numéraire,43724,43677,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,8000,AAP Contrat de ville 2024,2024-08-28/2025-02-28,Inférieur à 30 000€,aide en numéraire,45673,45532,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,15000,AAP Contrat de Ville,2023-08-22/2024-02-22,Inférieur à 30 000€,aide en numéraire,45216,45160,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,15000,ESS programme d'actions,2019-06-11/2019-12-11,Inférieur à 30 000€,aide en numéraire,43636,43627,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300200.0,15000,Fonctionnement,2020-10-26/2021-04-26,Inférieur à 30 000€,aide en numéraire,44166,44130,BORDEAUX METROPOLE,24330031600000.0
ADIE,35221687300211.0,43000,Programme d'actions 2022,2022-06-28/2022-12-28,Entre 30 000€ et 100 000€,aide en numéraire,44805,44740,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,225000,Aide relance entrepreneurs,2020-07-24/2021-01-24,Entre 100 000€ et 500 000€,aide en numéraire,44418,44036,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300200.0,28000,Action Créajeunes,2020-10-26/2021-04-26,Inférieur à 30 000€,aide en numéraire,44166,44130,BORDEAUX METROPOLE,24330031600000.0
ADIE,35221687300211.0,15000,Subvention de fonctionnement,2022-10-04/2023-04-04,Inférieur à 30 000€,aide en numéraire,44897,44838,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,15000,Fonctionnement,2021-09-10/2022-03-10,Inférieur à 30 000€,aide en numéraire,44518,44449,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,40850,Aide au fonctionnement,2025-05-07 / 2025-11-07,Entre 30 000€ et 100 000€,Aide en numéraire,45695,45784,BORDEAUX METROPOLE,24330031600011.0
ADIE,35221687300211.0,6000,APP CDV 2025,2025-08-12 / 2026-02-12,Inférieur à 30 000€,Aide en numéraire,46036,45881,BORDEAUX METROPOLE,24330031600011.0
ADIL 33,30537823400000.0,97740,Fonctionnement,2019-10-28/2020-04-28,Entre 30 000€ et 100 000€,aide en numéraire,43853,43766,BORDEAUX METROPOLE,24330031600000.0
ADIL 33,30537823400036.0,97740,aide au fonctionnement,2024-11-15/2025-05-15,Entre 30 000€ et 100 000€,aide en numéraire,45673,45611,BORDEAUX METROPOLE,24330031600011.0
ADIL 33,30537823400036.0,97740,Subvention de fonctionnement,2022-07-26/2023-01-26,Entre 30 000€ et 100 000€,aide en numéraire,44805,44768,BORDEAUX METROPOLE,24330031600011.0
ADIL 33,30537823400036.0,97740,Fonctionnement,2018-11-09/2019-05-09,Entre 30 000€ et 100 000€,aide en numéraire,43502,43413,BORDEAUX METROPOLE,24330031600011.0
ADIL 33,30537823400036.0,97740,Aide au fonctionnement,2025-11-14 / 2026-05-14,Entre 30 000€ et 100 000€,Aide en numéraire,46036,45975,BORDEAUX METROPOLE,24330031600011.0
ADMAA,48956307200029.0,20000,Eté métropolitain,2019-05-27/2019-11-27,Inférieur à 30 000€,aide en numéraire,43636,43612,BORDEAUX METROPOLE,24330031600011.0
ADMAA,48956307200029.0,35000,Festival Relâche 2023,2023-04-26/2023-10-26,Entre 30 000€ et 100 000€,aide en numéraire,45097,45042,BORDEAUX METROPOLE,24330031600011.0
ADMAA,48956307200029.0,35000,Festival Relâche,2021-06-03/2021-12-03,Entre 30 000€ et 100 000€,aide en numéraire,44418,44350,BORDEAUX METROPOLE,24330031600011.0
ADMAA,48956307200000.0,15000,Festival Relaches,2020-02-10/2020-08-10,Inférieur à 30 000€,aide en numéraire,43929,43871,BORDEAUX METROPOLE,24330031600000.0
ADMAA,48956307200029.0,15000,Festival Relache,2019-08-26/2020-02-26,Inférieur à 30 000€,aide en numéraire,43724,43703,BORDEAUX METROPOLE,24330031600011.0
ADMAA,48956307200029.0,1500,Aide à l'investissement,2025-06-26 / 2025-12-26,Inférieur à 30 000€,Aide en numéraire,45911,45834,BORDEAUX METROPOLE,24330031600011.0
ADMAA,48956307200029.0,8650,Aide au fonctionnement,2025-07-17 / 2026-01-17,Inférieur à 30 000€,Aide en numéraire,45911,45855,BORDEAUX METROPOLE,24330031600011.0
ADMAA / ALLEZ LES FILLES,48956307200029.0,35000,Aide au fonctionnement,2025-05-13 / 2025-11-13,Entre 30 000€ et 100 000€,Aide en numéraire,45695,45790,BORDEAUX METROPOLE,24330031600011.0
ADMAA/Allez les filles,48956307200029.0,35000,Festival Relâche 2024,2024-05-07/2024-11-07,Entre 30 000€ et 100 000€,aide en numéraire,45537,45419,BORDEAUX METROPOLE,24330031600011.0
ADPEP33,78185055700088.0,13000,JDD,2021-04-27/2021-10-27,Inférieur à 30 000€,aide en numéraire,44518,44313,BORDEAUX METROPOLE,24330031600011.0
ADSI TECHNOWEST,43403882400042.0,14500,PLIE,2019-06-03/2019-12-03,Inférieur à 30 000€,aide en numéraire,43636,43619,BORDEAUX METROPOLE,24330031600011.0
ADSI Technowest,43403882400042.0,24933,PLIE 2023,2023-11-28/2024-05-28,Inférieur à 30 000€,aide en numéraire,45324,45258,BORDEAUX METROPOLE,24330031600011.0
ADSI Technowest,43403882400042.0,25000,Convention d'objectifs et financière,2023-12-11/2024-06-11,Inférieur à 30 000€,aide en numéraire,45324,45271,BORDEAUX METROPOLE,24330031600011.0
ADSI TECHNOWEST,43403882400042.0,25000,Programme d'actions 2022-2023,2022-12-09/2023-06-09,Inférieur à 30 000€,aide en numéraire,44943,44904,BORDEAUX METROPOLE,24330031600011.0
ADSI TECHNOWEST,43403882400042.0,24830,Action clause d'insertion,2022-07-13/2023-01-13,Inférieur à 30 000€,aide en numéraire,44805,44755,BORDEAUX METROPOLE,24330031600011.0
ADSI TECHNOWEST,43403882400042.0,176000,Soutien exceptionnel,2021-08-31/2022-02-31,Entre 100 000€ et 500 000€,aide en numéraire,44518,44439,BORDEAUX METROPOLE,24330031600011.0
ADSI TECHNOWEST,43403882400042.0,25000,OIM action emploi,2019-07-12/2020-01-12,Inférieur à 30 000€,aide en numéraire,43724,43658,BORDEAUX METROPOLE,24330031600011.0
ADSI TECHNOWEST,43403882400059.0,23750,Aide au fonctionnement,2025-12-02 / 2026-06-02,Inférieur à 30 000€,Aide en numéraire,46036,45993,BORDEAUX METROPOLE,24330031600011.0
Aéropace Valley,48428452600072.0,140000,Aide au fonctionnement,2023-05-12/2023-11-12,Entre 100 000€ et 500 000€,aide en numéraire,45097,45058,BORDEAUX METROPOLE,24330031600011.0
AEROSPACE VALLEY,48428452600072.0,90000,Fonctionnement,2019-10-31/2020-04-31,Entre 30 000€ et 100 000€,aide en numéraire,43784,43769,BORDEAUX METROPOLE,24330031600011.0
Aerospace Valley,48428452600072.0,115000,aide au fonctionnement,2024-06-03/2024-12-03,Entre 100 000€ et 500 000€,aide en numéraire,45537,45446,BORDEAUX METROPOLE,24330031600011.0
AEROSPACE VALLEY,48428452600100.0,90000,Fonctionnement,2020-03-05/2020-09-05,Entre 30 000€ et 100 000€,aide en numéraire,43929,43895,BORDEAUX METROPOLE,24330031600000.0
AEROSPACE VALLEY,48428452600072.0,115000,Fonctionnement,2021-11-17/2022-05-17,Entre 100 000€ et 500 000€,aide en numéraire,44550,44517,BORDEAUX METROPOLE,24330031600011.0
AEROSPACE VALLEY,48428452600100.0,5000,Formaero 2020,2020-11-24/2021-05-24,Inférieur à 30 000€,aide en numéraire,44166,44159,BORDEAUX METROPOLE,24330031600000.0
AEROSPACE VALLEY,48428452600072.0,115000,Subvention de fonctionnement,2022-04-14/2022-10-14,Entre 100 000€ et 500 000€,aide en numéraire,44713,44665,BORDEAUX METROPOLE,24330031600011.0
AEROSPACE VALLEY,48428452600072.0,103500,Aide au fonctionnement,2025-05-14 / 2025-11-14,Entre 100 000€ et 500 000€,Aide en numéraire,45695,45791,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300052.0,2500,Subvention de fonctionnement,2022-09-27/2023-03-27,Inférieur à 30 000€,aide en numéraire,44897,44831,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300052.0,8000,AAP FAJ / Politique de la Ville,2022-07-31/2023-01-31,Inférieur à 30 000€,aide en numéraire,44805,44773,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300052.0,58000,Ecole de la Deuxième Chance,2023-08-02/2024-02-02,Entre 30 000€ et 100 000€,aide en numéraire,45216,45140,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300052.0,58000,Ecole de la deuxième chance,2024-10-30/2025-04-30,Entre 30 000€ et 100 000€,aide en numéraire,45673,45595,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300052.0,58000,Subvention de Fonctionnement,2022-10-25/2023-04-25,Entre 30 000€ et 100 000€,aide en numéraire,44897,44859,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300029.0,58000,Fonctionnement,2019-03-08/2019-09-08,Entre 30 000€ et 100 000€,aide en numéraire,43557,43532,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300052.0,66064,AAP CONTRAT LOCAL DES SOLIDARITES,2024-12-23/2025-06-23,Entre 30 000€ et 100 000€,Aide en numéraire,45751,45649,BORDEAUX METROPOLE,24330031600011.0
AFEPT,30016423300052.0,55100,Aide au fonctionnement,2025-08-18 / 2026-02-18,Entre 30 000€ et 100 000€,Aide en numéraire,45911,45887,BORDEAUX METROPOLE,24330031600011.0
AGEC & CO,49848483100000.0,14250,SMAC agglo scènes musiques actuelles,2020-03-03/2020-09-03,Inférieur à 30 000€,aide en numéraire,43929,43893,BORDEAUX METROPOLE,24330031600000.0
AGEC ET CO,49848483100033.0,14250,projet artistique,2019-05-29/2019-11-29,Inférieur à 30 000€,aide en numéraire,43636,43614,BORDEAUX METROPOLE,24330031600011.0
Agence de Développement et d'Innovation Nouvelle Aquitaine,82033673300010.0,50000,Aide au fonctionnement,2023-06-21/2023-12-21,Entre 30 000€ et 100 000€,aide en numéraire,45216,45098,BORDEAUX METROPOLE,24330031600011.0
AGENCE DE DEVELOPPEMENT TOURISTIQUE,78184375000055.0,180000,Gironde Tourisme 2022,2022-07-21/2023-01-21,Entre 100 000€ et 500 000€,aide en numéraire,44805,44763,BORDEAUX METROPOLE,24330031600011.0
